ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
MEX,Mexico,High,LAC,86.0,75.0,0.76,74.574,13.70121002,8.489919662,18233.04546,0.953,0.738805689,0.774884855,0.598,20.63781182,21.31578947,11.51211452,16.45552493,33.945796,0.377,-0.6500228875468186,-1.173321818712779,North America,129166028
MHL,Marshall Islands,Medium,EAP,131.0,85.37647058823529,0.628,63.3733,11.03316503,10.88313961,3956.773561,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,20.45575905,4.779338113,24.059114932170065,0.3875029940119761,0.3197908054468794,1.43479405338885,Oceania,59259
MKD,North Macedonia,High,ECA,78.0,37.0,0.743,75.1399,12.91816044,8.848412514,13472.13216,0.933,0.71490506,0.766299059,0.622,15.69152431,16.28532974,6.468442917,10.53734,30.06879,0.165,-0.8441600254252595,-0.9076610121282496,Europe,2083359
MLI,Mali,Low,SSA,186.0,155.0,0.407,57.0792,7.564219952,1.648,1928.19902,0.875,0.380474708,0.434933861,0.5621510791366907,20.304142475244607,20.75931192845324,39.68065262,19.47365799370064,24.059114932170065,0.669,4.95572452154949,-0.0275761832185626,Africa,20346106
MLT,Malta,Very High,,23.0,42.0,0.864,81.3905,15.16574001,10.79741001,32462.76512,0.951,0.838529182,0.881466083,0.79,8.527619121,8.564814815,4.933097363,7.31224,13.33752,0.244,-2.9861556743472786,0.4877576668512494,Europe,441750
MMR,Myanmar,Medium,EAP,149.0,125.0,0.531,64.1412,9.328334808,5.077656065,2997.036412,0.955,0.516371659,0.540629513,0.437,17.19633209,17.70244821,26.30396271,19.44,5.845033545,0.548,2.3313796428843254,2.4078535211498004,Asia,54473253
MNE,Montenegro,Very High,ECA,49.0,32.0,0.812,76.3268,15.01389313,11.39179255,17062.97966,0.958,0.793499734,0.828109242,0.5621510791366907,20.304142475244607,20.75931192845324,4.473377705,6.03860614,24.059114932170065,0.163,-2.116070464438291,-0.4364843407293341,Europe,628080
MNG,Mongolia,High,EAP,96.0,76.0,0.718,68.1114,14.6726923,9.918156052,8824.576367,1.029,0.727919103,0.707310601,0.5621510791366907,20.304142475244607,20.75931192845324,13.52219677,11.44802,24.059114932170065,0.344,-0.500797459691557,0.0923081257401454,Asia,3287242
MOZ,Mozambique,Low,SSA,185.0,136.0,0.413,55.6387,9.398610115,2.762074947,1116.823506,0.901,0.39159197,0.434416342,0.283,31.44621229,31.47699758,35.02375031,30.92034656,28.39454,0.558,4.526704959136162,-0.3456052778905975,Africa,31398811
MRT,Mauritania,Medium,SSA,158.0,161.0,0.523,63.5779,8.365590096,4.085109146,4636.124825,0.859,0.477936202,0.556464274,0.354,32.05090768,32.31357553,30.75681305,40.78516,24.61075,0.651,3.5893046268958764,0.5426911193724353,Africa,4669775
